black blackness blacken	white
broach clasp brooch	
temporary temp	
renew reincarnate	
conquer enchant appropriate fascinate seizure seize trance capture entrance get	
gnome shadow midget dwarf	
moose elk	
shed make confuse drop have hold fox confound thrust give	
pounce swoop slide	
make pissing pee puddle wee urinate peeing piss	
ascension heighten advance jump prove develop	set wane fall descent
troop march parade promenade exhibit	
restore reestablish reinstate	
prawn shrimp	
pollute foul contaminate	
subdivision offset branch leg fork arm separate limb	
sharpshooter marksman	
look depend see figure cypher suppose calculate imagine bet consider	
aggressor attacker assailant	
vandalism hooliganism	
file record read show registered register	unregistered
arc bow arch curve discharge spark	
queasy sickening loathsome nauseous sick anxious uneasy nervous nauseating nauseated	
clutch seize	
palace castle	
chick dame dolly doll skirt bird wench	
keepsake token souvenir relic memento	
lockup locking	
canton billet fourth stern tail draw poop quarter	
emphatic forceful	
accidentally unexpectedly unintentionally incidentally	intentionally deliberately
inside internal intimate privileged interior inner	outer
brainwave insight brainstorm	
checkup medical	
context mount scene background scope setting circumstance	
accountant comptroller controller	
trifle dally wanton trifling paltry play negligible	
feed flow run course feast prey give eat fertilize	starve
tight besotted sloshed puddle wee annoyed plastered smashed pee urinate	
bootleg contraband smuggled black	
plagiarism piracy	
field fielding	
pester tap bug badger tease wiretap bugged intercept	
petite tiny diminutive midget	
recycle reuse	
chaperone chaperon	
alteration adaptation adjustment allowance modification fitting accommodation registration	
tab tablet pill	
stick beat rile annoy puzzle agitate gravel vex amaze	reassure
inflict chitchat see jaw inspect impose chatter visit gossip chat	
initiation creation cornerstone introduction foot basis founding groundwork base foundation	
inflict visit impose	
tough problematic debatable baffling elusive	
deep trench ditch	
translate transform	
remembrance memorial commemoration	
way course track itinerary path route	
mimic mime pantomime	
beat flutter wave flap fluttering flapping roll	
pucker gather tuck insert	
activist militant	
thought suppose mean imagine intelligent consider guess remember recall	forget
raise grow farm produce	
slimy unworthy worthless ugly despicable wretched vile	worthy
linger lounge lurk loaf tarry loiter	
hook tweak pull pluck hustle pick tear plucked plume	bowed
make create produce	
deepen heighten combine compound intensify colonial	simple
informative light illuminate enlightening illuminating enlighten clear	
newcomer newbie freshman fledgling starter	
wear fag pall sap jade tyre fatigue tire	interest refresh
upset interference ruffle fray flutter commotion noise disruption disturbance	
dagger obelisk	
discus saucer	
reference audience consultation interview	
hitch tear rent split snag rub rip	
flush sluice	
fibre fiber character	
car machine auto motorcar automobile	
concerted cooperative	uncooperative
auntie aunt aunty	uncle
dot superman drug pane dose acid dosage	
barrel cask	
dabble spank paddle waddle	
mercury quicksilver	
repeat revenant resort recurring	
tat lace loop twine	
treasure value appreciate prize	
dispossessed homeless	
youthful untested offspring new youth immature young	old aged
circle encircle encircled surrounded	
honor respect reward honour observe	dishonor disrespect
watery feeble weak light rickety decrepit imperfect infirm frail	strong
boastful crow big bragging crowing gloat brag triumph braggart	
tarnish defile sully stain stained	
fat productive plentiful racy deep ample copious rich	lean poor
reply answer reaction response reception	
grit guts sand moxie backbone gumption	
folding close fold	unfold open
frustrate beat stick thwart cross puzzle scotch regulate vex gravel	
generally loosely broadly	narrowly
losses departure release red expiration passing deprivation going	gain winnings
carnal sensual animal	
look await wait expect	
mouth speak talk utter	
tinder spunk kindling punk	
fringe periphery bang	
restless unsatisfied uneasy	restful
nominate name constitute appoint charge	
bike wheel cycle rack bicycle pedal roll	
lose absent drop escape wanting lack miss	have hit attend
culture destination refinement coating terminate finale complete	begin start beginning
suite way board room rooms	
hire lease charter engage take employ rent	fire
see envision figure visualize fabricated fictional visualise fancied fancy fictitious	
overturn vacate reverse rescind annul revoke repeal annulment lift	
gloss coloring semblance color colour tinge colouring colours colors distort	
look depend measured figure cypher aim calculate account bet count	
purification refinement refining	
do practised rehearse practiced practice exercise drill practise	
macho dike dyke butch	
aroused horny steamy randy	
anguish straining twisting torment agony distortion torturing torture rack	
opaque unintelligible	
rancor resentment bitterness gall	
like ilk	
proprietor owner	
puff drag depict string pass quarter get	push repel deposit
pasty gummy viscous sticky	
plough plowing deal handle treat ploughing plow cover address turn	
tartar dragon	
float blow movement stray gallery wander impetus range swan tramp	
float blow swim vagabond drifting aimless drift vagrant floating	sink
energize awaken raise wake conjure stimulate elicit waken evoke	sedate
write save pen compose writing publish composition spell	
sizing size	
channel groove furrow rut	
lard pad embellish embroider	
bottom assess screw tax rump stern shag fanny tush ass	
comprise contain constitute represent incorporate consist be	
assess tax task	
suit turn become get go	
eater feeder	
agenda schedule docket	
morbid diseased pathological ghoulish	
indigo anil	
castaway outcast pariah	
ephemeral transient passing	
archaeological archeological	
assassin bravo	
detective researcher investigator	
beak bill pecker neb	
emphasized emphatic forceful	
labour push lug labor jerk drive tug tugboat tote tower	
hen biddy	
consecrate hallowed bless sanctify hallow sacred	desecrate
ascetic spartan austere	
thrust pierce	
pervert misuse misused abuse	used
cant pitch lingo vernacular jargon bank tilt slang slant	
beat pulse instant twinkling flash heartbeat jiffy wink	
bookstore bookshop	
meow mew	
offence offense crime offensive	defence defense
tightening stiffen fasten reduce tighten	loosening
cranky peckish testy scratchy petulant excitable irritable	
tempt lure entice	
charge flush level even dismantle point raze	raise
tincture tint tone refinement spook wraith nuance shade tad specter	
properly nice decently adequate decent becoming comely right	improperly indecent
prescribed official	unofficial
elaborate refine complicate complicated	simplify
lecture jaw nag scold chide berate rag grumble rebuke grouch	
bleeding haemorrhage run bleed hemorrhage leech	
dot sprinkle scatter disperse broadcast diffuse dust circulate distribute dissipate	
obstruct block hinder impeding jam hindering clogging impede	free
humanity manhood	
order pace rate range value place grade rank	
insolent bodacious brazen audacious	
deep mysterious cryptic inscrutable	
lexicon dictionary	
intro presentation demonstration display introduction	
order set determined dictate prescribe dictated	
amp a	
raise elevate rise upgrade advance climb ascent promote	descent
fudge dodge hedge dip evade duck elude skirt parry circumvent	
unlocked unsecured unlock	lock
belch ignite break burst flare erupt	
lead allow foliage will depart parting forget leaf	enter arrive
rise coat surface	
program scheduling programming programme	
flunky butt goat laughingstock stooge	
bottom rump ulterior stern fanny tush ass posterior keister	anterior
rebel renegade rise maverick insurgent arise	
decimate annihilate eliminate extinguish eradicate	
blunder ejaculate blurt	
prowler sneak stalker	
proficiency technique	
wristband bracelet	
guide usher show	
inspire scoff cheer barrack urge	
alien alienate	
smash pulverize destroy crush demolish leveling demolishing	
aspect facet	
undo unwrap untie loosen	make wrap
counterpoint contrast line	
eternity infinity	
insight penetration brainwave brainstorm	
classy swish posh	
hitch limp limping hobble gimp	
fisher fisherman	
energize stimulate agitate charge shake arouse excite sex	stifle calm
shadowy shady shadowed shade dwarf shadow	
g gm gram	
space length distance	
behead decapitate decapitation beheading	
nurture further foster	
accounting accountancy	
repository memorial monument	
concession yielding grant	
selection express pull elicit evoke extract infusion	
mean foot pedestal theme floor stand basal humble lowly stem	
worth deserving	
warmth fondness heart fancy tenderness affection	
disheveled tangle	
dimension assign property attribute	
nuke microwave zap vaporize	
cheery gay sunny	
tryst rendezvous	
million meg	
titty pap bosom nipple tit breast teat boob knocker	
whip blister	
dirty impure unclean soiled	clean
cap capital great	
release top extend happen passage authorize pass	running fail failing
delivery rescue saving deliverance	
stray swan rove pasture straddle wander run tramp place rank	
gasoline petrol gas	
answer decide solved resolved purpose dissolve solve conclude resolve	unsolved
pounce swoop	
dump dive launch plunge dip steep engulf absorb dunk douse	
clop cluster flock glob bundle lump thumping thud chunk ball	
gremlin pixy imp pixie elf brownie	
receive welcome invite incur obtain find encounter experience have meet	
castor topper beaver	
bloody bally flaming crashing blooming fucking flare flame blinking fiery	
realise name crap cause puddle wee get cook do	break
extra additional	
varied depart deviate vary change motley alter	conform
everlasting eternal interminable unending perpetual endless ageless	
pagan heathen infidel gentile	
wonder esteem appreciation admiration	
crown treetop	
whistling whistle sing	
emptying vacate empty abandon evacuate discharge evacuation void	fill
tat sleaze	
pernicious subtle insidious	
blarney coaxing coax	
reenact enact	
sliver splinter splinters	
cover covert screen concealment	overt
slimy frightful horrifying surly atrocious horrible unworthy worthless despicable	beautiful
bobble blow boner spoil bloomer muff fumble bollocks fluff blunder	
nose weave bruise wrap hoist wander twist curve twine	unwind
incompatible inappropriate antagonistic	compatible congenial
discriminate part break divide sort tell differentiate classify	unite joint
delivery livery	
autopsy postmortem	
graduate calibrate	
digs stick lodgings file lodge housing charge lodging accommodate	dislodge
sickly seedy poorly unwell ailing peaked	
largely mostly generally	
behave bear acquit deliver carry deport conduct extradite exile	
pallet palette	
hire lease leased charter engage take chartered employ rent	fire
dynamic dynamics	
optimistic affirmative	pessimistic
live exist be survive	
smuggler offset runner	
sentiment persuasion thought opinion view	
clearing glade	
veiled veil hide obscure obliterate	unveil unveiled
overwork tap work feat exploit effort	
handkerchief hanky hankie	
lavish cascade shower	
death die break perish go expire pass croak anxious	birth
correspondent pressman	
civilisation culture refinement civilization	
panorama prospect scene vista view aspect	
undo untying loosen undoing untie unwrap	make wrap
harbor hold nurse entertain entertaining harbour	
entire stallion	
want trust desire hope	
receive prevail hold incur obtain find get	
expanse broom cross slam tangle swing drag sail sweep span	
dog chase tail tag trail track label mark	
fierce rupture pull pluck buck bust tear watering charge violent	
blast shell smash blasting crucify boom blare savage shoot blaring	
wanderer spider	
engineer mastermind orchestrate orchestrated organize organise direct	
comment commentary	
review inspection revue recap critique survey refresh retrospect	
comprise interpret stage symbolize constitute represent act map defend	prosecute
cop stay hitch contain hold halt pinch check apprehension nab	
stately noble imposing nobleman	ignoble
avenue boulevard	
sound phone voice audio go strait fathom	silence
lotion application	
aeroplane plane airplane	
dove squab	hawk
grant profess confess concede cede yield	
behavior demeanour behaviour doings conduct demeanor	
tenner decade ten	
tongue sprinkle skewer saliva patter spatter spitting spit spittle spew	
microbe bug source seed germ	
pail bucket	
administration organization governance system brass constitution arrangement organisation establishment formation	
covet coveted desired	
worker actor doer	
biff punch slug bullet slog clout lick swig idle	work
smooching cuddling caressing kissing necking snuggling hugging fondle caress fondling	
physics cathartic	
brushing sweep brush	
okay sanctioned sanction approve approved	disapprove
occupy vex interest headache worry trouble concern care	reassure
multitude pack people masses throng mass battalion concourse	
sentence doom condemn	
business occupation job line occupancy	
enlist blueprint draft muster draught outline swig conscription gulp	discharge
aggressor attacker assailant	
voyage sail navigate	
assess tax taxation taxis task	
zest spice	
molecule atom particle speck	
press conjure tender invite wish offer dictation bidding beseech summons	
damned goddamn goddamned consecrate goddam infernal blame	cursed desecrate curse
bar beat assess bill step quantity criterion meter cadence standard	
consult bestow confer	
hinder hind back	
irregularity constipation abnormality	regularity
frustrate crisscross sweep cross thwart scotch foil spoil track cover	
benevolent philanthropic	
trafficker seller vendor	
jewellery jewelry	
rough bumpy jumpy rocky	smooth
coon nigger spade nigga	
fudge dodge hedge evade duck elude skirt parry circumvent	
surging zoom surge heave tide soar	ebb
damn swear blaspheme cuss curse	bless communicate
make do stimulate cause have induce get	
czar tsar	
tiredness weariness fatigue	
thirsty hungry	thirsty
look front face breast	back
jangle jingle	
doubt question uncertainty	certainty
twain twosome dyad couplet couple match duet mate pair mates	
interpret understand transform read render translate	
acquit exonerated exonerate vindicated discharge absolved cleared clear	convict
orb eyeball eye	
tumble crumple decay crumble collapse	
compress embrace gouge twitch tweet nip hug squeezing mash squelch	
bear deliver save pitch birth return redeem render surrender deport	
varnish seal	
capability content capacity	
excuse condone	
lick resolve clear work solve	
commit confide entrust trust	
seal stamp varnish	
snoring snore	
look depend figure cypher aim calculate account bet count cipher	
confidant intimate	
sleek pat tricky crafty glib cunning deceiver slicker wily slick	
intrigue enchant fascinate bewitching absorbing gripping enchanting fascinating grip trance	
expanse broom cross slam tangle swing drag sail sweep span	
injustice iniquity	justice
troupe accompany companionship company party fellowship companion caller society	
nibble picking foot blame pluck piece pick beak peck clean	
deity god divinity immortal	
fatso butterball fatty dipper	
transport delighted enchant charmed entranced ravish captivated enthralled delight	
deranged craze madden crazed	
rap wham belt knock wallop whack	
stud dot rivet	
companion brother fellow associate comrade familiar	
receive suffer cause get sustain ingest deliver	refuse lack abstain
storage remembering memory store retention	
battle combat	
hack whoop	
enlist draft engage	discharge
collection assembling collect amass garner collecting compile gather hoard	spread
tincture tint tone refinement spook sunglasses wraith nuance shade tad	
agenda schedule docket	
substitute sub	
pirate buccaneer	
dickie dicky dickey	
fatten fat plump	
burden heaps rafts lots cargo charge tons oodles lode gobs	
orbit bowl sphere field area domain arena stadium	
pitiable miserable inadequate poor pitiful short hapless wretched pathetic	rich
allow permit let countenance kisser endorsement mug sanction warrant	forbid
twitch tweet nip pinch twinge squeeze	
cub rookie greenhorn	
decide see ascertain set limit regulate settle fix learn specify	
bottom puke git rump loaf stern punk tinny tush fanny	
broken low humiliate crushed mortified humble embarrassed humiliated humbled	
cop hog copper raven slob bull pig farrow squealer fuzz	
death expiry last end demise destruction dying	birth
prone prostrate flat	
shot slam barb thrash shaft bang sweep dig	
stake impale spike	
fault blame pick charge	absolve
telegram wire	
beginner novice initiate	
mumble gum mutter	
drained knackered	
deposit deposition	
airway airline	
sought attempt essay try seek search	
archaeologist archeologist	
defame slander sully smear	
stump stomp tender boss postage seal stereotype mould cast stamp	
husband hubby	wife
inherited familial transmitted hereditary genetic	
chant tone	
hither here	there
magnify enlarged enlarge elaborate exaggerated magnified dilate expand	contract reduce
stiffness severity badness hardship rigor harshness hardness	
gory bloodstained	
seizure capture	
configuration constellation	
cinematography filming	
lineman electrician	
urge advocate preach recommend	
unmistakable apparent evident manifest patent plain	
erupt break explode collapse bust fit outburst salvo explosion	implode
organization system agreement arrangement arranging placement organisation transcription	
wake ignite light heat inflame erupt	extinguish
trick fob fox	
forge work model cast mould shape mold form	
cruise sail	
diagnose name	
genuine literal actual real factual	potential
bear deliver birth birthing nativity have	death
distraught overwrought	
administer dispense deal allot distribute lot	
put lay location side set position place placement situation posture	
upbeat welfare cheerful wellbeing	
warp perverted wring misrepresented tinge color colour twist twisted distorted	
belligerent war militant warring	
lam bunk loose run escaped elude miss escape scat	
second secondly	
echo ring noise resound	
sprinkle skewer patter spatter spit spitting spew	
liquorice licorice	
seed sow	
release sac liberation net displace terminate firing can sacking	hire
everyday casual daily	
meow mew	
persist prevail hold dominate run obtain endure rule triumph reign	
hammerhead knucklehead bonehead blockhead dunce	
hall foyer residence vestibule dorm lobby mansion dormitory hallway	
wear clothing wearable	
sustenance alimony maintenance care upkeep	
nobility aristocracy gentry	
residency mansion residence abode hall	
massacre slaughter butchery carnage	
borrow adopt	lend
fanciful imaginary	
skating skate	
assign designate delegate	
squire gallant	
bleeding haemorrhage bleed hemorrhage	
mastermind brainiac brain genius	
repay return rejoin reward refund retort	
warmth passion heat mania love rage	
yawning drowsy dozy	
universal cosmopolitan general worldwide	particular local specific
hakim hakeem	
nub butt stub	
purify puke sick scour barf vomit flush sanctify honk	rehabilitate
regulate rule order govern	
kg kilo kilogram	
bar except exclude shut eject omit	include admit
bombard bomb pelt barrage	
swig gulp gulping draft draught	
bake broiled grilled	
aver say	
coconut coco	
cheery festive jolly brave sunny gay jovial merry queer	
skyrocket rocket	
stench reek stink	
cameraman cinematographer	
deserter defector	
sponsor arch patronage patronizing patronising condescending frequent condescend shop	boycott
gelatin gel jelly	
mile knot mi	
starship spaceship	
twit twerp	
obelisk dagger sticker	
clutch grasp batch hold clasp grip clutches seize clench	
greeting greet salutation recognize recognise	
scallop cutlet	
hastily hurriedly	
quit discontinue terminate end stop finish cease	begin continue
cripple lame	
light enlighten clear illuminate	
force pull pluck tear draw extract commit attract	push repel
puzzle outsmart ticktock outwit whacking beating flap thump get pound	
preparation provision supplying supply planning	
reversed discourse converse	
revenge retaliate avenge	
hoodoo fetish juju voodoo	
matter affair thing	
shaking beat flicker waver quiver quivering flutter quake vibration trembling	
emir amir	
putz shot dick slam barb screw peter cock tool jockey	
redeem deliver save ransom	
tried essay prove screen tested try test examine quiz	
spine sticker thorn	
descend decide fall reconcile settling subside finalize determine locate	float
leash leading top extend tip steer star pass	follow deficit
neck cervix	
liquorice licorice	
acquaintance ally friend admirer supporter booster champion protagonist	stranger foe
erase delete	record
vomiting puke sick barf vomit puking honk cast chuck purge	
slaughter butcher	
brimming brim	
ware product trade merchandise	
glaze candy sugarcoat	
hour hr	
comply follow	
dissimilar different unlike	like same
dare presume defy daring	
hold livelihood dungeon maintain observe prevent	lose break let discontinue
observer beholder	
skinny secretive tight confining closer nigh near snug	far distant
temptress enchantress siren	
costing cost be	
impale spindle ear lace spike fortify	
parcel contribution part share deal percentage partake portion	
teaching instruction statement command education direction	
trace dog hunt hound heel cad	
petite tiny diminutive midget	
snoring snore	
brainstorm brainstorming	
annihilate quench extinguish eradicate decimate eliminate	ignite
stall die perish go expire croak faint conk pass choke	
twinkle swank dash scoot shoot flaunt blink flash winkle wink	
hearty satisfying solid lusty square substantial	
flop founder break collapse give father beginner	
haughty overbearing prideful	
majestic prodigious olympian exceeding exceptional	
link connected attached connect tie affiliated join	unconnected unplug disconnect
contempt scorn despite disrespect disdain	
unmoved unaffected untouched	moved
flower blossoming unfold blossom flowering bloom	
wholly completely whole totally entirely altogether all	partly
declare hold announce	
desolation loneliness	
interrogation examination query enquiry inquiry question	answer
graph chart	
look front face breast	back
ness cape	
rise coat surface open	
virulent deadly insanely lethal madly mortal pernicious deathly venomous	
stick flag fall pivot trap peg pin	
concur coincide agree hold concord	disagree
excited frantic delirious unrestrained mad frenzied	
rise start grow originate initiate develop arise	
exemplary discourage cautionary warn warning	
but precisely merely just upright only barely fair	unjust unfair
canny ingenious apt clever cunning cagey	
undermine cave	
spontaneous unwritten	induced
harbinger herald predecessor precursor	
disregard drop fail carelessness negligence ignore miss neglect overlook omit	
nuke microwave zap	
savagely viciously brutally	
marking mark marker	
bait twit summon mobilize rally cod rag muster ride mobilise	
hearsay rumour rumor	
sentinel scout sentry lookout spotter pale watch picket	
imbecile retard cretin changeling moron idiot	
move traveled go travelled travel trip jaunt journey	
fourteen xiv	
lascivious lusty lewd lustful salacious	
trace accompany observe adopt comply succeed come pursue be	precede
unleash loose	
rude natural sensitive tender cutting naked crude bleak new	cooked
bear suffering lose brook agony hurt distress suffer tolerate	enjoy
stacks heaps rafts lots gobs wads dozens tons piles scores	
competency competence	incompetence
wrath ira ire anger	
recoil ricochet fountain leap bound give springtime leaping spring outpouring	
intoxicated drunk inebriated	sober
gangster mobster	
dim subterfuge screen blind	sighted
berth pier moor wharf dock	
maroon strand	
bugger sod turf	
idolize fear reverence revere worship	
soap max goop lather scoop	
frustrate cross thwart scotch foil spoil queer	
okay fine ok	coarse
ultra radical extremist	
hazard venture adventure chance risk gamble stake escapade jeopardize	
symphony philharmonic	
entail implicate	
undergraduate undergrad	
flick cinema film pic take celluloid shoot movie picture	
sovereignty reign	
generate mother beget return render give father yield get sire	
blab clack tattle blabber chatter	
calico painted pied motley	
decay disintegrate rot decompose	
crackle crackling crunch	
lesson instance case model illustration exercise example representative	
posture force potency effectiveness forte specialty speciality intensity strength	weakness
all wholly solid unanimous whole unhurt unscathed hale	partly half
fly disappear vanish fell vanished vaporize	appear
adjournment dissolution	
see ascertain promise reassure secure guarantee tell control check	worry
snuggle nest cuddle	
creation existence cosmos universe world	
educated initiate enlightened illuminate enlighten clear	
garish tawdry loud cheesy cheap gaudy tacky punk flash	expensive
goblet chalice	
catchy tricky crafty cunning wily slick foxy dodgy sly slippery	
come acclaim herald hail	
pontiff pope	
goalie goalkeeper	
gunshot gunfire	
motorized mechanized	
heartbreak heartache grief	
circle roach rope	
enlighten ray	
obsession fixation fixing regression	
firstly first foremost	
sympathetic likeable likable appealing	unsympathetic
slice slit slicing fade	
prude puritan	
quarrel challenge dispute scrap conflict difference	
voyeur peeper	
hoop basket ring basketball wicket hoops	
twinge stab sting pang	
pic film picture movie flick	
deepen escalate heighten intensified compound intensify	
loony haywire buggy cracked daft barmy crackers loopy kooky batty	
convey bring get fetch	
bellyache stomachache	
chick dame doll skirt bird wench biddy	
channel bring express transmit carry take conduct fetch impart conveyance	
streetcar tram trolley	
newcomer newbie freshman fledgling starter	
clip meter clock sentence metre time	
runway railing rail track train rails	
sizzle sizzling	
break fracture	
figure cypher calculate cipher compute reckon	
bother inconvenience trouble	
centre center pore concentrate rivet focus	
drove swarm stream pour cloud horde	
bottom bed know layer screw fuck hump bonk seam love	
sober sobering	
interchange swap exchange trade alternate shift change switch flip throw	
jaunty natty spiffy spruce snappy dapper dashing	
province express state country tell commonwealth land nation submit say	
sprite fay fairy	
perfect hone	
revise revising rewriting	
deceitful duplicitous	
lift elevator	
bustle pluck roll hustle	
segment sectioned section	
locker cabinet footlocker	
lead contain hold curb soften moderate chair control check mince	
minuscule low smaller little minor modest diminished humble	large big
dickie dicky dickey	
drugged drug doped dose	
rattling rattle	
skin stream pour hide pelt pepper bombard fur	
lead dog chase tail drag tag shack trail track train	
lecture jaw scold chide berate rag rebuke reprimand	
swag stagger lurch keel reel keeled	
stately noble imposing	ignoble
spiked lace impale spike fortify	
starving starvation	
mob rabble rout ragtag riffraff	
paddle spank	
thicket brush	
bow deflect flex twist bended bend crouch turn bent	straighten
voltage emf potential	
te si ti	
mishap misadventure	
staunch bow fore halt theme base stalk shank root stem	
torrent downpour deluge	
assume pretend affect feign sham simulate	
force coerce squeeze hale pressure	
fateful black disastrous fatal	
crease toast crisp chip wrinkle	
distaste aversion	
inter bury	
crimp flock crease faithful bend close congregation folding	unfold open
grounder grasshopper hopper	
utter mouth talk speak mouthpiece lip sass	
coil kink curve lock loop curl wave scroll roll	
insurgent guerrilla guerilla irregular	
dot stage aim orient charge sharpen tip show steer period	
pedantic academic	
subject submit subjugate	
suspension break hesitate intermission pause interruption	
speed accelerate quicken hasten hurry hie zip rush race	linger
premonition foreboding	
gaffer antique	
swerve curve trend cut veer sheer slew	back
thick compact stocky	
centre center pore concentrate sharpen rivet focus direction focusing	blur
school schooling educate cultivate schoolhouse train shoal	
marinate marinade	
plummet plump	
herald predecessor precursor harbinger foretell announce	
ill ailment complaint	
northwest northwestern	
cobweb gossamer ethereal sheer transparent	
food nutrient	
snobby snobbish	
ganja cannabis marijuana	
peach apricot	
dominus domine	
incline position face side slope	top
shank waist waistline	
hacker hack	
skin contend scramble struggle fight shin	
grunt oink	
marital married matrimonial	
number come numbering count list total amount	
short abruptly dead suddenly	
inferno blaze pit hellhole sin underworld hell netherworld perdition	
consecrate give dedicate commit pay devote	
mini miniskirt	
master maestro	
lightly light thinly softly gently	heavily
biff punch slug plug clout lick poke	
airway airline	
crossover crossing crosswalk	
teeth tooth	
wad compress press pack bundle covenant compact thick	loose decompress
frozen snappy nipping nippy crisp icy glacial frigid frosty	
patch bind bandage	
wedding union marriage wedlock matrimony	
ivory horn tusk	
vocalist singer	
crawfish withdraw retreat retreated recede retire retrograde	advance
pleading plead	imperative
afloat vagabond drifting aimless adrift vagrant floating	
tweedle chirp	
plunge dunk dip douse	
daydreaming daydream reverie	
swig slug idle slog	work
behavior demeanour behaviour doings conduct demeanor	
rewrite revise revision alteration	
sized size	
diaper napkin nappy	
sharply sharp acutely	chronically
mo instant bit proceedings hour moment minutes minute second min	
commemorate record	
gyroscope gyro	
orbit sphere world field area domain land arena	
moat fosse	
woof option cream selection cull nibble picking foot blame pluck	
warranty warrant guarantee	
send transport air ship broadcast station transmit charge post commit	
bower arbor	
mute break soften dampen moist damp dull weaken	
stare gaze	
trample trampling tread	
eventuality contingency	
humour irritation humor season moderate mood irritability harden toughness temper	
blast inject scoot charge fritter snap pip fool shooting shot	
inspector examiner	
shore land prop	
ware intersection product production merchandise	
holler grouse bitch beef squawk crab gripe bellyache	
announcement proclamation declaration resolution resolve contract	
cheat chisel chiseled	
glue paste	
trot jog clip ramble lope nudge	
zoology fauna	flora
disc discus saucer disk dish	
formulate articulate news password tidings phrase discussion parole word intelligence	
freeze deflect jam closure forget pulley	unblock unfreeze remember free
smooching cuddling caressing kissing necking nest snuggling snuggle hugging cuddle	
sedative downer	
van forefront vanguard	
mescaline peyote	
return regaining renovation restitution restoration	
funnily oddly strangely	
inbound inward	
fanfare flourish thrive boom wave prosper expand	
tubing tube subway metro underground pipe	
pound punt pole game gage stake back	
perspiration sweat sweating	
road route	
subvert degraded degenerate dissipated pervert fast corrupt debauched libertine profane	
coin strike mint	
spit spittle saliva	
shift translation displacement	
mountain raft deal pot peck plenty sight lot sights flock	
mild flabby cushy flaccid voiced diffuse	forte hard hardened loud
true admittedly	
toady crawler fawn lackey	
board gore panel jury	
birdbrain loon	
penetrate aurora daybreak sunup dawn sunrise dawning morning click	sunset
password parole word	
travel journey	
treasured cherished valued precious cute wanted	
warrant guarantee justify	
procure pimp indulge pander	
seal certain sealed plastered varnish	unsealed
holder bearer	
recreation deviation diversion deflection	
autopsy postmortem	
decay disintegrate rot decompose	
recoil fawn crawl cringe cower shrink quail funk grovel flinch	
stripper striptease peeler	
corporation corps corp	
wound bruise injure hurt spite wounded maimed offend	
distressing sad sorry deplorable lamentable pitiful	glad
accept consent	refuse
squeal fink oink confess	
recoil cringe shrink quail funk flinch	
descendant descendent	ancestor
shallow shoal	
kip sleep upstart slumber	wake
mesh web net network	
grievous heartbreaking	
excuse apologize rationalize justify apologise	
snap cinch breeze picnic pushover	
policeman officer	
farmer granger	
obscene repulsive abhorrent abominable odious repugnant detestable	
press iron	
curtain drape mantle pall	
dodo fossil	
do make stimulate movement lawsuit crusade case cause get suit	
retribution vengeance payback	
mound pitcher knoll hill pile hammock heap	
communist commie	
shit shite turd dirt poop crap	
generate grant disposed feed break pass apt sacrifice	starve take
okay sanction approve	disapprove
retreat retirement	
nuisance pain	
hamper spasm cramp halter strangle	
fumes reek fume exhaust smoke	
anatomy make soma figure establish flesh physique chassis construct progress	
bachelor bach	
headless brainless	
administration governance organization government brass governing organisation establishment	
adaptation rendering variation edition reading version translation interpretation variant	
speculate contemplate study mull ponder meditate reflect muse	
tight mean base hateful average miserly	
worm twist squirm wriggle wrestle writhe wiggle	
bait twit mount free rally cod riding rag ride	walk
wow riot scream debauchery orgy rioting	
endanger jeopardise expose peril menace threaten jeopardize queer	
shake card wit wag	
holder bearer carrier	
archaeologist archeologist	
lapse relapse regress oversight pass sink	
terrible unspeakable irritating awful atrocious painful abominable dreadful sore	painless
pornography porno porn erotica smut	
whatsoever any whatever	
pundit savant initiate	
paralysis palsy	
occasional periodic	
gob labourer tar squat jack shit diddly mariner laborer knave	
clutch grasp grapple bag hold suitcase fascinate handle clasp grip	
poll analyze canvas study sheet canvass sail analyse examine	
radio wireless tuner	
step stair	
congress intercourse coitus copulation relation	
chitchat lecture jaw scold chide berate rag chatter visit chew	
nod guest node client knob	
come acclaim herald hail	
wreath coronal garland lei	
jimmy pry lever prize	
besieged surround circumvent	
matter content discipline dependent study subject topic theme case capable	
pattern convention normal rule convening formula	
kt karat carat	
exert manage wield handle maintain	
shit motherfucker bastard mongrel asshole prick illegitimate	
plug hype hoopla	
appendage sue process operation march treat work serve summons procedure	
yip yelping yap yelp	
delinquency dereliction	
qualify characterize	
daylight daytime days years day	night
penetrate punctured pierced punch perforated	
scarlet cherry ruddy red ruby violent crimson flushed reddish carmine	
wreak bring work play	
blunder sin boob goof	
locker cabinet console	
see find witness	
bar block barricaded barred exclude barricade banish stop blockade	
wear don father assume	
stamp boss stereotype stump stomp	
fauna tool puppet beast animal wight creature brute	
nix nada cypher zilch zero nothing cipher aught nil zippo	
authorised authorized authoritative empower authorize pass clear authorise	unauthorized
innings frame inning	
partake touch share	
grasp delve labour toil stab fag grind excavate dug jab	
sunburn burn sunburned	
rush rushing hurry haste precipitation	
overturn override subvert reverse overthrow overrule	
tell recount narrate recite	
restlessness fidget impatience uneasiness	
salute present toast pledge drink	
abdomen stomach belly	
treacle slop mush	
bear allow permit brook tolerate suffer endure digest stomach stand	
stump ambo podium soapbox pulpit dais stamp stomp	
